stop_id,stop_code,stop_name,stop_lat,stop_lon
5262,02,NOWINEK,52.016672,21.040661
5273,02,NIEPOKALANOWSKA,52.26801737,20.4640926
5274,01,WIEJCA III,52.26359014,20.48513453
5275,02,WIEJCA III,52.263384,20.486952
5281,02,WILKOWA WIEŚ II,52.25881145,20.52794613
5282,01,ŚWIERKOWA,52.25684835,20.55816591
5283,02,ŚWIERKOWA,52.25658801,20.55977624
5288,02,POMNIK SAPERA,52.22919596,21.04217488
5295,02,OBRĘB II,51.95500299,21.10819825
5296,01,OBRĘB II,51.9549911,21.10789072
5300,02,KOLONIA SOBIKÓW,51.97089278,21.15499257
5310,01,SZYMANÓW,52.04309528,21.11425324
5312,04,BOROWINA I,52.05236349,21.11196339
5313,02,BANIOCHA-CENTRUM,52.02220865,21.12702882
5322,02,SARMACKA,52.15783071,21.08000601
5329,03,FARADAYA,52.30845341,21.01592631
5333,02,KOŚCIÓŁ,52.338799,21.195773
5334,01,DRZEWORYTNIKÓW,52.21681897,20.90111746
5342,02,BYTNARA,52.19304071,21.00205083
5345,02,STRZELECKA,52.26017343,21.0371036
5353,03,ECHA LEŚNE,52.31746212,21.03689451
5359,01,PORZECZKOWA,52.31424225,21.03814112
5375,02,DĘBOWA,52.36289032,20.94635774
5376,01,OS. BUKOWY DWOREK,52.36849151,20.94111675
5377,01,ŁBISKA-SZKOŁA,52.01963288,21.00560956
5378,02,ŁBISKA-SZKOŁA,52.02043422,21.00518697
5380,02,PASZKÓW,52.1097888,20.83391118
5390,01,DĄBROWSKIEGO,52.31673227,21.18880569
5391,01,KAZIMIERZA ODNOWICIELA,52.35936996,21.17899612
5392,02,KAZIMIERZA ODNOWICIELA,52.35933079,21.18004467
5393,01,MAŁA,52.34828772,21.2062603
5401,01,ZIELONEJ GĘSI,52.20736803,20.85959805
5403,04,GILARSKA,52.28598291,21.04969318
5404,02,ROGATKOWA,52.20404216,21.16448514
5405,03,PKP MIĘDZYLESIE,52.20436873,21.16648493
5414,01,SASANKOWA,52.43589562,21.14738596
5415,02,SASANKOWA,52.43498773,21.14855094
5421,05,SASKA,52.22791023,21.06330313
5427,02,TEKLIN II,52.125646,21.300066
5442,01,LAZUROWA,52.21629321,20.89736245
5443,02,LAZUROWA,52.2165597,20.89531732
5473,02,OS. NIEPODLEGŁOŚCI,52.35168093,21.25816005
5485,01,PARTYZANTÓW-SZKOŁA,52.33589632,21.2425512
5486,02,PARTYZANTÓW-SZKOŁA,52.336479,21.24256
5490,02,TURÓW II,52.31318094,21.2052836
5492,01,OSSÓW-SZKOŁA,52.309271,21.218812
5493,02,OSSÓW-KRZYŻ,52.30978372,21.23292941
5494,01,OSSÓW-KRZYŻ,52.30985348,21.23430044
5501,01,CMENTARZ,52.33256653,21.27371007
5502,02,CMENTARZ,52.33158816,21.27474734
5507,03,PIŁSUDSKIEGO-KOŚCIÓŁ,52.35091589,21.23018293
5508,04,PIŁSUDSKIEGO-KOŚCIÓŁ,52.34929671,21.23211866
5514,01,ZAGOŚCINIEC-SZKOŁA,52.372922,21.26639297
5517,01,CALOWA,52.14188302,21.14819419
5535,01,KĘPA OBORSKA II,52.12500414,21.1549162
5538,01,NOWE GRABIE I,52.35659445,21.30355718
5543,02,PRZEMYSŁOWA,52.316887,21.163839
5546,02,MOSTOWA,52.36004533,21.17327893
5551,01,TWARDOWSKA,52.28479242,20.95471623
5552,02,TWARDOWSKA,52.28595327,20.95390923
5582,02,PKP DAWIDY,52.1269845,20.99237239
5583,01,PKP DAWIDY,52.12644528,20.99341646
5591,01,JULIANOWSKA-CMENTARZ,52.08064277,21.03981609
5595,02,URSUS-NIEDŹWIADEK,52.19019636,20.86263671
5596,03,URSUS-NIEDŹWIADEK,52.19090294,20.86173486
5597,04,URSUS-NIEDŹWIADEK,52.19037945,20.86199102
5598,06,URSUS-NIEDŹWIADEK,52.19102457,20.86196142
5608,01,PKP LEGIONOWO PRZYSTANEK,52.41080727,20.9154469
5610,01,OGRODOWA,52.10338057,21.04039854
5611,02,OGRODOWA,52.10341041,21.04059578
5612,02,PKP LEGIONOWO,52.40072773,20.94145096
5623,01,PKP ZAGOŚCINIEC,52.36577413,21.28175256
5625,02,WILLOWA,52.363286,21.281474
5635,03,SUWAK,52.18313896,20.98924995
5641,01,PUŁASKIEGO,52.08459287,21.08417823
5642,02,PUŁASKIEGO,52.08456551,21.08486803
5643,02,PKP WOŁOMIN SŁONECZNA,52.35692548,21.25496077
5651,01,OBRĘB,51.95277908,21.1156882
5660,04,SŁUPNO,52.38401935,21.15643963
5661,02,KONOPNICKIEJ,52.390537,21.1493
5667,02,LEŚNIAKOWIZNA II,52.31155309,21.25773982
5684,01,CENTRUM REHABILITACJI,52.07668849,21.12479109
5698,02,WESOŁA,52.045453,20.892098
5704,01,PARTYZANTÓW,52.21284604,20.81109642
5709,02,ZUS,52.34717391,21.2556403
5711,03,MŁYNARSKA,52.23778096,20.97167602
5713,02,CZWARTAKÓW,52.26925348,21.14657153
5714,01,CZWARTAKÓW,52.268904,21.14524487
5715,03,KOŚCIÓŁ,52.34092164,21.19668121
5725,02,PUSZCZYKA,52.40271301,20.81768098
5726,01,PUSZCZYKA,52.40220613,20.81976482
5727,02,NADWIŚLAŃSKA,52.40440168,20.80925785
5728,01,NADWIŚLAŃSKA,52.40399791,20.8107061
5735,02,OS. MŁODYCH,52.4172954,20.74468643
5738,01,LEŚNA,52.41846553,20.73808656
5739,02,MORAWICZA,52.41953133,20.72971907
5740,01,MORAWICZA,52.41919494,20.73064758
5743,02,PADEREWSKIEGO,52.42799602,20.71922183
5744,01,PADEREWSKIEGO,52.42799169,20.71908019
